 ,Mean
1469,96.057
1470,85.242
1471,121.462
1472,118.325
1473,113.372
1474,97.623
1475,79.141
1476,120.195
1477,116.967
1478,110.454
1479,93.126
1480,86.470
1481,121.661
1482,118.062
1483,112.940
1484,101.526
1485,87.770
1486,119.771
1487,117.070
1488,109.646
1489,89.900
1490,82.975
1491,119.667
1492,117.399
1493,111.045
1494,93.958
1495,84.486
1496,119.200
1497,116.034
1498,110.683
1499,98.677
1500,79.355
1501,121.324
1502,118.847
1503,114.149
1504,94.134
1505,86.968
1506,121.272
1507,118.102
1508,111.139
1509,93.152
1510,84.895
1511,121.467
1512,118.418
1513,115.523
1514,99.338
1515,81.427
1516,119.283
1517,114.028
1518,110.649
1519,92.993
1520,87.093
1521,117.740
1522,115.750
1523,110.202
1524,94.601
1525,84.880
1526,118.317
1527,116.048
1528,110.118
1529,97.775
1530,86.000
1531,122.130
1532,119.056
1533,114.586
1534,99.518
1535,79.578
1536,120.829
1537,117.682
1538,111.459
1539,94.356
1540,87.657
1541,122.297
1542,118.788
1543,113.983
1544,103.227
1545,89.105
1546,120.387
1547,117.897
1548,111.127
1549,91.425
1550,83.929
1551,120.258
1552,118.107
1553,112.342
1554,95.737
1555,85.657
1556,119.756
1557,116.794
1558,112.082
1559,100.532
1560,79.549
1561,121.723
1562,119.410
1563,115.192
1564,95.415
1565,88.180
1566,121.728
1567,118.640
1568,112.208
1569,94.358
1570,85.734
1571,121.982
1572,118.969
1573,116.454
1574,100.763
1575,81.916
1576,119.748
1577,114.925
1578,111.898
1579,94.249
1580,88.221
1581,118.276
1582,116.351
1583,111.180
1584,96.069
1585,85.990
1586,118.733
1587,116.615
1588,111.244
1589,99.231
1590,86.696
1591,122.629
1592,119.587
1593,115.594
1594,101.179
1595,79.898
1596,121.298
1597,118.207
1598,112.291
1599,95.377
1600,88.735
1601,122.823
1602,119.364
1603,114.832
1604,104.696
1605,90.298
1606,120.883
1607,118.505
1608,112.393
1609,92.777
1610,84.769
1611,120.685
1612,118.632
1613,113.401
1614,97.300
1615,86.704
1616,120.156
1617,117.399
1618,113.211
1619,102.133
1620,79.655
1621,122.198
1622,119.997
1623,116.223
1624,96.726
1625,89.517
1626,122.278
1627,119.225
1628,113.279
1629,95.608
1630,86.630
1631,122.587
1632,119.575
1633,117.398
1634,102.208
1635,82.552
1636,120.287
1637,115.859
1638,113.103
1639,95.582
1640,89.489
1641,118.858
1642,117.016
1643,112.159
1644,97.531
1645,87.227
1646,119.229
1647,117.234
1648,112.385
1649,100.747
1650,87.514
1651,123.193
1652,120.211
1653,116.627
1654,102.857
1655,80.362
1656,121.863
1657,118.801
1658,113.164
1659,96.393
1660,89.901
1661,123.467
1662,119.985
1663,115.723
1664,106.167
1665,91.594
1666,121.452
1667,119.161
1668,113.620
1669,94.160
1670,85.754
1671,121.206
1672,119.225
1673,114.424
1674,98.863
1675,87.916
1676,120.648
1677,118.070
1678,114.310
1679,103.775
1680,79.874
1681,122.683
1682,120.565
1683,117.146
1684,98.027
1685,90.877
1686,122.840
1687,119.768
1688,114.274
1689,96.768
1690,87.539
1691,123.198
1692,120.125
1693,118.232
1694,103.568
1695,83.216
1696,120.777
1697,116.704
1698,114.227
1699,96.860
1700,90.769
1701,119.341
1702,117.614
1703,113.109
1704,98.950
1705,88.517
1706,119.689
1707,117.816
1708,113.460
1709,102.167
1710,88.395
1711,123.762
1712,120.805
1713,117.528
1714,104.505
1715,80.879
1716,122.447
1717,119.371
1718,113.950
1719,97.416
1720,91.115
1721,124.109
1722,120.582
1723,116.569
1724,107.580
1725,92.920
1726,122.033
1727,119.795
1728,114.711
1729,95.593
1730,86.825
1731,121.746
1732,119.798
1733,115.391
1734,100.364
1735,89.208
1736,121.140
1737,118.674
1738,115.343
1739,105.371
1740,80.188
1741,123.035
1742,121.011
1743,117.946
1744,99.195
1745,92.076
1746,123.287
1747,120.227
1748,115.114
1749,97.839
1750,88.310
1751,123.714
1752,120.585
1753,118.866
1754,104.756
1755,83.719
1756,121.194
1757,117.357
1758,115.135
1759,97.942
1760,91.929
1761,119.715
1762,118.052
1763,113.830
1764,100.147
1765,89.580
1766,120.019
1767,118.256
1768,114.292
1769,103.360
1770,89.129
1771,124.140
1772,121.251
1773,118.273
1774,105.877
1775,81.223
1776,122.874
1777,119.798
1778,114.579
1779,98.205
1780,92.113
1781,124.558
1782,121.069
1783,117.218
1784,108.731
1785,94.007
1786,122.466
1787,120.267
1788,115.583
1789,96.738
1790,87.677
1791,122.134
1792,120.185
1793,116.107
1794,101.533
1795,90.256
1796,121.462
1797,119.089
1798,116.078
1799,106.699
1800,80.234
1801,123.341
1802,121.398
1803,118.609
1804,100.264
1805,93.236
1806,123.692
1807,120.605
1808,115.828
1809,98.796
1810,89.044
1811,124.126
1812,120.993
1813,119.432
1814,105.816
1815,84.291
1816,121.527
1817,117.894
1818,115.917
1819,98.935
1820,93.073
1821,120.013
1822,118.422
1823,114.464
1824,101.275
1825,90.665
1826,120.280
1827,118.577
1828,114.978
1829,104.437
1830,89.869
1831,124.474
1832,121.637
1833,118.905
1834,107.171
1835,81.594
1836,123.245
1837,120.142
1838,115.134
1839,98.924
1840,93.135
1841,124.956
1842,121.471
1843,117.785
1844,109.789
1845,95.100
1846,122.845
1847,120.664
1848,116.334
1849,97.845
1850,88.522
1851,122.472
1852,120.517
1853,116.730
1854,102.626
1855,91.300
1856,121.735
1857,119.465
1858,116.703
1859,107.968
1860,80.339
1861,123.751
1862,121.852
1863,119.326
1864,101.419
1865,94.480
1866,124.220
1867,121.060
1868,116.648
1869,99.832
1870,89.908
1871,124.654
1872,121.482
1873,120.067
1874,106.909
1875,84.934
1876,121.955
1877,118.539
1878,116.745
1879,100.044
1880,94.343
1881,120.381
1882,118.879
1883,115.180
1884,102.443
1885,91.834
1886,120.663
1887,119.019
1888,115.771
1889,105.547
1890,90.747
1891,124.897
1892,122.148
1893,119.645
1894,108.520
1895,82.084
1896,123.708
1897,120.598
1898,115.780
1899,99.753
1900,94.250
1901,125.465
1902,121.960
1903,118.460
1904,110.881
1905,96.315
1906,123.315
1907,121.157
1908,117.144
1909,99.003
1910,89.494
1911,122.912
1912,120.963
1913,117.427
1914,103.782
1915,92.462
1916,122.130
1917,119.923
1918,117.404
1919,109.281
1920,80.570
1921,124.049
1922,122.286
1923,119.988
1924,102.491
1925,95.644
1926,124.628
1927,121.494
1928,117.332
1929,100.778
1930,90.719
1931,125.122
1932,121.933
1933,120.635
1934,107.902
1935,85.562
1936,122.352
1937,119.064
1938,117.462
1939,101.017
1940,95.571
1941,120.718
1942,119.259
1943,115.821
1944,103.512
1945,92.959
1946,120.967
1947,119.373
1948,116.448
1949,106.568
1950,91.603
1951,125.287
1952,122.557
1953,120.288
1954,109.785
1955,82.541
1956,124.140
1957,120.984
1958,116.355
1959,100.490
1960,95.318
1961,125.887
1962,122.434
1963,119.073
1964,111.862
1965,97.448
1966,123.770
1967,121.579
1968,117.873
1969,100.093
1970,90.407
1971,123.353
1972,121.328
1973,118.007
1974,104.809
1975,93.571
1976,122.456
1977,120.304
1978,118.032
1979,110.450
1980,80.757
1981,124.333
1982,122.672
1983,120.607
1984,103.473
1985,96.750
1986,125.020
1987,121.900
1988,117.963
1989,101.649
1990,91.509
1991,125.558
1992,122.394
1993,121.136
1994,108.845
1995,86.200
1996,122.738
1997,119.543
1998,118.119
1999,101.942
2000,96.780
2001,121.044
2002,119.593
2003,116.359
2004,104.519
2005,94.040
2006,121.253
2007,119.692
2008,117.044
2009,107.459
2010,92.411
2011,125.625
2012,122.983
2013,120.841
2014,110.950
2015,82.999
2016,124.546
2017,121.379
2018,116.866
2019,101.165
2020,96.351
2021,126.285
2022,122.876
2023,119.611
2024,112.762
2025,98.588
2026,124.162
2027,121.994
2028,118.510
2029,101.082
2030,91.275
2031,123.729
2032,121.676
2033,118.566
2034,105.775
2035,94.547
2036,122.785
2037,120.644
2038,118.558
2039,111.515
2040,80.925
2041,124.586
2042,122.997
2043,121.118
2044,104.437
2045,97.811
2046,125.344
2047,122.242
2048,118.544
2049,102.479
2050,92.304
2051,125.922
2052,122.750
2053,121.615
2054,109.729
2055,86.808
2056,123.032
2057,119.962
2058,118.689
2059,102.811
2060,97.940
2061,121.280
2062,119.888
2063,116.856
2064,105.463
2065,95.039
2066,121.504
2067,119.953
2068,117.574
2069,108.246
2070,93.188
2071,125.908
2072,123.332
2073,121.394
2074,112.024
2075,83.454
2076,124.883
2077,121.686
2078,117.375
2079,101.833
2080,97.387
2081,126.630
2082,123.224
2083,120.135
2084,113.595
2085,99.670
2086,124.514
2087,122.330
2088,119.120
2089,102.053
2090,92.116
2091,124.037
2092,121.968
2093,119.045
2094,106.637
2095,95.546
2096,123.024
2097,120.970
2098,119.074
2099,112.478
2100,81.083
2101,124.823
2102,123.341
2103,121.673
2104,105.329
2105,98.848
2106,125.674
2107,122.610
2108,119.140
2109,103.269
2110,93.075
2111,126.305
2112,123.179
2113,122.068
2114,110.586
2115,87.463
2116,123.370
2117,120.356
2118,119.215
2119,103.668
2120,99.156
2121,121.572
2122,120.163
2123,117.320
2124,106.362
2125,96.038
2126,121.742
2127,120.209
2128,118.097
2129,109.014
2130,93.994
2131,126.191
2132,123.705
2133,121.877
2134,113.024
2135,83.919
2136,125.214
2137,122.055
2138,117.824
