 ,Mean
1670,83.264
1671,120.179
1672,115.893
1673,109.008
1674,97.753
1675,82.296
1676,120.290
1677,115.969
1678,106.951
1679,99.846
1680,81.617
1681,124.765
1682,121.920
1683,118.589
1684,112.230
1685,95.784
1686,123.133
1687,118.829
1688,115.005
1689,103.116
1690,92.865
1691,123.742
1692,119.703
1693,115.288
1694,103.548
1695,87.263
1696,120.026
1697,115.324
1698,107.963
1699,96.597
1700,85.781
1701,118.740
1702,115.447
1703,109.671
1704,99.167
1705,84.711
1706,119.667
1707,116.593
1708,109.628
1709,97.237
1710,83.459
1711,126.518
1712,123.512
1713,120.007
1714,111.007
1715,103.169
1716,124.722
1717,119.270
1718,116.636
1719,100.471
1720,89.496
1721,125.343
1722,122.305
1723,118.526
1724,103.206
1725,84.490
1726,121.778
1727,117.518
1728,109.911
1729,95.892
1730,83.831
1731,120.926
1732,116.476
1733,109.834
1734,98.787
1735,82.803
1736,120.881
1737,116.705
1738,107.929
1739,100.980
1740,81.852
1741,125.245
1742,122.537
1743,119.400
1744,113.394
1745,97.070
1746,123.676
1747,119.362
1748,115.664
1749,104.097
1750,93.948
1751,124.293
1752,120.262
1753,116.018
1754,104.729
1755,88.112
1756,120.726
1757,115.940
1758,108.829
1759,97.429
1760,86.324
1761,119.395
1762,116.016
1763,110.477
1764,100.199
1765,85.342
1766,120.247
1767,117.293
1768,110.542
1769,98.238
1770,83.814
1771,127.015
1772,124.117
1773,120.870
1774,112.185
1775,104.471
1776,125.243
1777,119.835
1778,117.319
1779,101.440
1780,90.382
1781,125.932
1782,122.948
1783,119.374
1784,104.307
1785,85.204
1786,122.470
1787,118.190
1788,110.781
1789,96.746
1790,84.407
1791,121.648
1792,117.049
1793,110.638
1794,99.779
1795,83.320
1796,121.435
1797,117.447
1798,108.899
1799,102.087
1800,82.100
1801,125.723
1802,123.148
1803,120.162
1804,114.511
1805,98.368
1806,124.190
1807,119.914
1808,116.282
1809,105.063
1810,95.019
1811,124.826
1812,120.808
1813,116.682
1814,105.872
1815,88.976
1816,121.396
1817,116.561
1818,109.653
1819,98.283
1820,86.904
1821,120.067
1822,116.588
1823,111.229
1824,101.221
1825,86.000
1826,120.861
1827,117.994
1828,111.402
1829,99.233
1830,84.166
1831,127.497
1832,124.674
1833,121.673
1834,113.289
1835,105.754
1836,125.757
1837,120.359
1838,117.984
1839,102.403
1840,91.292
1841,126.488
1842,123.514
1843,120.152
1844,105.390
1845,85.947
1846,123.167
1847,118.858
1848,111.622
1849,97.589
1850,85.025
1851,122.376
1852,117.629
1853,111.436
1854,100.761
1855,83.871
1856,121.996
1857,118.168
1858,109.841
1859,103.196
1860,82.397
1861,126.106
1862,123.655
1863,120.873
1864,115.513
1865,99.614
1866,124.631
1867,120.374
1868,116.841
1869,105.938
1870,96.044
1871,125.288
1872,121.270
1873,117.320
1874,106.935
1875,89.833
1876,121.973
1877,117.108
1878,110.419
1879,99.063
1880,87.448
1881,120.663
1882,117.086
1883,111.948
1884,102.186
1885,86.644
1886,121.384
1887,118.608
1888,112.203
1889,100.187
1890,84.522
1891,127.880
1892,125.175
1893,122.374
1894,114.254
1895,106.909
1896,126.173
1897,120.834
1898,118.562
1899,103.259
1900,92.080
1901,126.947
1902,123.977
1903,120.831
1904,106.365
1905,86.625
1906,123.711
1907,119.467
1908,112.404
1909,98.373
1910,85.583
1911,122.962
1912,118.139
1913,112.138
1914,101.683
1915,84.350
1916,122.447
1917,118.845
1918,110.704
1919,104.234
1920,82.632
1921,126.447
1922,124.139
1923,121.498
1924,116.460
1925,100.832
1926,125.026
1927,120.838
1928,117.374
1929,106.791
1930,97.074
1931,125.700
1932,121.723
1933,117.906
1934,107.950
1935,90.726
1936,122.490
1937,117.674
1938,111.139
1939,99.870
1940,88.059
1941,121.220
1942,117.611
1943,112.645
1944,103.147
1945,87.342
1946,121.877
1947,119.231
1948,113.009
1949,101.158
1950,84.915
1951,128.296
1952,125.671
1953,123.044
1954,115.211
1955,108.121
1956,126.609
1957,121.348
1958,119.146
1959,104.139
1960,92.975
1961,127.435
1962,124.454
1963,121.500
1964,107.367
1965,87.425
1966,124.327
1967,120.110
1968,113.205
1969,99.203
1970,86.275
1971,123.577
1972,118.703
1973,112.875
1974,102.626
1975,84.960
1976,122.954
1977,119.526
1978,111.594
1979,105.288
1980,83.011
1981,126.783
1982,124.546
1983,122.051
1984,117.284
1985,101.915
1986,125.411
1987,121.237
1988,117.818
1989,107.493
1990,97.949
1991,126.098
1992,122.105
1993,118.365
1994,108.800
1995,91.466
